0,1,2,3,4,5
Karnataka,Belgaum - 2,JAGADISH SHETTAR,Bharatiya Janata Party,178437,1383889
Karnataka,Bellary - 9,E. TUKARAM,Indian National Congress,98992,1389914
Karnataka,Bidar - 7,SAGAR ESHWAR KHANDRE,Indian National Congress,128875,1242322
Karnataka,Bijapur - 4,RAMESH JIGAJINAGI,Bharatiya Janata Party,77229,1296114
Karnataka,Chamarajanagar - 22,SUNIL BOSE,Indian National Congress,188706,1369797
Karnataka,Chikkballapur - 27,DR.K.SUDHAKAR,Bharatiya Janata Party,163460,1530820
Karnataka,Chikkodi - 1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,90834,1393093
Karnataka,Chitradurga - 18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,48121,1366909
Karnataka,Dakshina Kannada - 17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,149208,1415770
Karnataka,Davanagere - 13,DR. PRABHA MALLIKARJUN,Indian National Congress,26094,1320368
Karnataka,Dharwad - 11,PRALHAD JOSHI,Bharatiya Janata Party,97324,1366491
Karnataka,Gulbarga - 5,RADHAKRISHNA,Indian National Congress,27205,1310477
Karnataka,Hassan - 16,SHREYAS. M. PATEL,Indian National Congress,42649,1355007
Karnataka,Haveri - 10,BASAVARAJ BOMMAI,Bharatiya Janata Party,43513,1395812
Karnataka,Kolar - 28,M. MALLESH BABU,Janata Dal  (Secular),71388,1355228
Karnataka,Koppal - 8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,46357,1328936
Karnataka,Mandya - 20,H.D. KUMARASWAMY,Janata Dal  (Secular),284620,1460267
Karnataka,Mysore - 21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,139262,1484473
Karnataka,Raichur - 6,G. KUMAR NAIK.,Indian National Congress,79781,1299619
Karnataka,Shimoga - 14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,243715,1377224
Karnataka,Tumkur - 19,V. SOMANNA,Bharatiya Janata Party,175594,1303451
Karnataka,Udupi Chikmagalur - 15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,259175,1229418
